Calendar Year,Decision Type,Nationality,Occupation,Count
2010,Approved,Brazil,Hairdresser,0
2010,Approved,Brazil,Hotel Service Manager,3
2010,Approved,Brazil,ICT Customer Support Officer,3
2010,Approved,Brazil,ICT Managers nec,0
2010,Approved,Brazil,ICT Project Manager,0
2010,Approved,Brazil,ICT Security Specialist,0
2010,Approved,Brazil,ICT Support Engineer,6
2010,Approved,Brazil,ICT Support Technicians nec,0
2010,Approved,Brazil,Joiner,3
2010,Approved,Brazil,Laboratory Manager,3
2010,Approved,Brazil,Massage Therapist,0
2010,Approved,Brazil,Mechanical Engineering Draftsperson,0
2010,Approved,Brazil,Multimedia Designer,0
2010,Approved,Brazil,Other Sports Coach or Instructor,0
2010,Approved,Brazil,Painting Trades Worker,0
2010,Approved,Brazil,Panelbeater,0
2010,Approved,Brazil,Pastrycook,3
2010,Approved,Brazil,Personal Assistant,3
2010,Approved,Brazil,Production Manager (Manufacturing),3
2010,Approved,Brazil,Retail Manager (General),3
2010,Approved,Brazil,Roof Tiler,3
2010,Approved,Brazil,Screen Printer,0
2010,Approved,Brazil,Software and Applications Programmers nec,3
2010,Approved,Brazil,Software Engineer,3
2010,Approved,Brazil,Solid Plasterer,3
2010,Approved,Brazil,Stonemason,3
2010,Approved,Brazil,Swimming Coach or Instructor,3
2010,Approved,Brazil,Systems Administrator,3
2010,Approved,Brazil,Systems Analyst,3
2010,Approved,Brazil,Technicians and Trades Workers nec,3
2010,Approved,Brazil,Telecommunications Engineer,0
2010,Approved,Brazil,University Lecturer,3
2010,Approved,Brazil,Wall and Floor Tiler,3
2010,Approved,Brazil,Web Developer,3
2010,Approved,Brunei Darussalam,General Practitioner,0
2010,Approved,Brunei Darussalam,Resident Medical Officer,3
2010,Approved,Bulgaria,Agricultural Technician,0
2010,Approved,Bulgaria,Apparel Cutter,0
2010,Approved,Bulgaria,Cafe or Restaurant Manager,3
2010,Approved,Bulgaria,Chef,0
2010,Approved,Bulgaria,Chemistry Technician,0
2010,Approved,Bulgaria,Fitter-Welder,0
2010,Approved,Bulgaria,Mechanical Engineering Technician,0
2010,Approved,Bulgaria,Metal Fabricator,3
2010,Approved,Bulgaria,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),0
2010,Approved,Bulgaria,Panel Beater,0
2010,Approved,Bulgaria,Software Engineer,0
2010,Approved,Bulgaria,University Tutor,0
2010,Approved,Burundi,Registered Nurse (Child and Family Health),3
2010,Approved,Cambodia,Baker,0
2010,Approved,Cambodia,Cafe or Restaurant Manager,3
2010,Approved,Cambodia,Carpenter,3
2010,Approved,Cambodia,Chef,0
2010,Approved,Cambodia,Customer Service Manager,0
2010,Approved,Cambodia,Production Manager (Manufacturing),0
2010,Approved,Cambodia,Registered Nurse (Aged Care),3
2010,Approved,Cameroon,University Lecturer,3
2010,Approved,Canada,Accountant (General),0
2010,Approved,Canada,Aeronautical Engineer,0
2010,Approved,Canada,Analyst Programmer,0
2010,Approved,Canada,"Architectural, Building and Surveying Technicians nec",3
2010,Approved,Canada,Biotechnologist,0
2010,Approved,Canada,Chef,0
2010,Approved,Canada,Construction Estimator,3
2010,Approved,Canada,Corporate Services Manager,3
2010,Approved,Canada,Electrical Engineer,3
2010,Approved,Canada,Electronic Engineering Technician,0
2010,Approved,Canada,Engineering Professionals nec,0
2010,Approved,Canada,Environmental Consultant,0
2010,Approved,Canada,Environmental Research Scientist,3
2010,Approved,Canada,General Practitioner,0
2010,Approved,Canada,Geologist,0
2010,Approved,Canada,Geophysicist,0
2010,Approved,Canada,Graphic Designer,3
2010,Approved,Canada,ICT Business Analyst,3
2010,Approved,Canada,ICT Customer Support Officer,3
2010,Approved,Canada,ICT Managers nec,0
2010,Approved,Canada,ICT Support Engineer,0
2010,Approved,Canada,ICT Support Technicians nec,3
2010,Approved,Canada,ICT Systems Test Engineer,0
2010,Approved,Canada,Librarian,0
2010,Approved,Canada,Mechanical Engineer,0
2010,Approved,Canada,Medical Laboratory Scientist,0
2010,Approved,Canada,Middle School Teacher (Aus) / Intermediate School Teacher (NZ),3
2010,Approved,Canada,Midwife,3
2010,Approved,Canada,Mining Engineer (excluding Petroleum),0
2010,Approved,Canada,Minister of Religion,3
2010,Approved,Canada,Multimedia Designer,3
2010,Approved,Canada,Obstetrician and Gynaecologist,0
2010,Approved,Canada,Organisation and Methods Analyst,3
2010,Approved,Canada,Orthopaedic Surgeon,0
2010,Approved,Canada,Petroleum Engineer,0
2010,Approved,Canada,Physiotherapist,3
2010,Approved,Canada,Policy and Planning Manager,3
2010,Approved,Canada,Primary School Teacher,6
2010,Approved,Canada,Production Manager (Manufacturing),3
2010,Approved,Canada,Registered Nurse (Child and Family Health),3
2010,Approved,Canada,Registered Nurse (Community Health),3
2010,Approved,Canada,Registered Nurse (Critical Care and Emergency),3
2010,Approved,Canada,Registered Nurse (Mental Health),3
2010,Approved,Canada,Registered Nurse (Surgical),3
2010,Approved,Canada,Registered Nurses nec,0
2010,Approved,Canada,Sales and Marketing Manager,3
2010,Approved,Canada,Secondary School Teacher,15
2010,Approved,Canada,Social Worker,0
2010,Approved,Canada,Software and Applications Programmers nec,0
2010,Approved,Canada,Software Engineer,3
2010,Approved,Canada,Software Tester,0
2010,Approved,Canada,Speech Pathologist (Aus) / Speech Language Therapist (NZ),0
2010,Approved,Canada,Student,3
2010,Approved,Canada,Surgeon (General),0
2010,Approved,Canada,Systems Analyst,0
2010,Approved,Canada,Technicians and Trades Workers nec,3
2010,Approved,Canada,Telecommunications Engineer,0
2010,Approved,Canada,Telecommunications Technician,0
2010,Approved,Canada,Television Equipment Operator,0
2010,Approved,Canada,Training and Development Professional,0
2010,Approved,Canada,University Lecturer,9
2010,Approved,Canada,University Tutor,3
2010,Approved,Canada,Veterinarian,3
2010,Approved,Canada,Veterinary Nurse,0
2010,Approved,Canada,Wine Maker,0
2010,Approved,Chile,(not recorded),3
2010,Approved,Chile,Airconditioning and Refrigeration Mechanic,3
2010,Approved,Chile,Architectural Draftsperson,3
2010,Approved,Chile,Baker,3
2010,Approved,Chile,Carpenter,3
2010,Approved,Chile,Chef,12
2010,Approved,Chile,Civil Engineer,0
2010,Approved,Chile,Database Administrator,0
2010,Approved,Chile,Early Childhood (Pre-primary School) Teacher,0
2010,Approved,Chile,Earth Science Technician,0
2010,Approved,Chile,Education Managers nec,0
2010,Approved,Chile,Electronics Engineer,3
2010,Approved,Chile,Finance Manager,0
2010,Approved,Chile,Fitter-Welder,6
2010,Approved,Chile,Fitter and Turner,0
2010,Approved,Chile,Food Technologist,3
2010,Approved,Chile,Graphic Designer,3
2010,Approved,Chile,ICT Support Engineer,3
2010,Approved,Chile,ICT Support Technicians nec,0
2010,Approved,Chile,Leather Goods Maker,0
2010,Approved,Chile,Nurseryperson,0
2010,Approved,Chile,Painting Trades Worker,3
2010,Approved,Chile,Petroleum Engineer,0
2010,Approved,Chile,Policy Analyst,0
2010,Approved,Chile,Pressure Welder,0
2010,Approved,Chile,Program or Project Administrator,0
2010,Approved,Chile,Registered Nurse (Aged Care),0
2010,Approved,Chile,Shearer,0
2010,Approved,Chile,Signwriter,0
2010,Approved,Chile,Social Worker,3
2010,Approved,Chile,Software Engineer,3
2010,Approved,Chile,Student,0
2010,Approved,Chile,Technical Sales Representatives nec,0
2010,Approved,Chile,Veterinary Nurse,3
2010,Approved,Chile,Welder (First Class) (Aus) / Welder (NZ),0
2010,Approved,China,(not recorded),108
2010,Approved,China,Accommodation and Hospitality Managers nec,3
2010,Approved,China,Accountant (General),51
2010,Approved,China,Accounts Clerk,9
2010,Approved,China,Actuary,0
2010,Approved,China,Acupuncturist,3
2010,Approved,China,Advertising Manager,0
2010,Approved,China,Agricultural Technician,3
2010,Approved,China,Architect,0
2010,Approved,China,Architectural Draftsperson,6
2010,Approved,China,Archivist,0
2010,Approved,China,Auto Mechanic,0
2010,Approved,China,Automotive Electrician,3
2010,Approved,China,Baker,45
2010,Approved,China,Bank Worker,0
2010,Approved,China,Bar Attendant,3
2010,Approved,China,Bookkeeper,3
2010,Approved,China,Botanist,3
2010,Approved,China,Bricklayer,3
2010,Approved,China,Butcher or Smallgoods Maker,3
2010,Approved,China,Cafe or Restaurant Manager,165
2010,Approved,China,Cafe Worker,0
2010,Approved,China,Call or Contact Centre Team Leader,3
2010,Approved,China,Careers Counsellor,3
2010,Approved,China,Carpenter,3
2010,Approved,China,Carpenter and Joiner,3
2010,Approved,China,Checkout Operator,3
2010,Approved,China,Chef,90
2010,Approved,China,Chemical Engineer,0
2010,Approved,China,Chemist,0
2010,Approved,China,Chemistry Technician,15
2010,Approved,China,Civil Engineer,0
2010,Approved,China,Civil Engineering Technician,0
2010,Approved,China,Clerical and Administrative Workers nec,0
2010,Approved,China,Clothing Patternmaker,0
2010,Approved,China,Community Worker,3
2010,Approved,China,Computer Network and Systems Engineer,9
2010,Approved,China,Conference and Event Organiser,0
2010,Approved,China,Construction Estimator,3
2010,Approved,China,Construction Project Manager,0
2010,Approved,China,Contract Administrator,3
2010,Approved,China,Cook,3
2010,Approved,China,Corporate General Manager,0
2010,Approved,China,Corporate Services Manager,3
2010,Approved,China,Credit or Loans Officer (Aus) / Finance Clerk (NZ),3
2010,Approved,China,Customer Service Manager,9
2010,Approved,China,Dairy Products Maker,3
2010,Approved,China,Data Entry Operator,0
2010,Approved,China,Database Administrator,0
2010,Approved,China,Dental Technician,0
2010,Approved,China,Developer Programmer,0
2010,Approved,China,Disabilities Services Officer,0
2010,Approved,China,Dressmaker or Tailor,3
2010,Approved,China,Early Childhood (Pre-primary School) Teacher,24
2010,Approved,China,Education Adviser,3
2010,Approved,China,Electrical Engineer,3
2010,Approved,China,Electrical Engineering Technician,3
2010,Approved,China,Electrician (General),3
2010,Approved,China,Electronic Engineering Technician,3
2010,Approved,China,Electronic Equipment Trades Worker,0
2010,Approved,China,Electronics Engineer,3
2010,Approved,China,Engineering Professionals nec,3
2010,Approved,China,Engineering Technologist,3
2010,Approved,China,Environmental Engineer,0
2010,Approved,China,External Auditor,21
2010,Approved,China,Facilities Manager,3
2010,Approved,China,Fashion Designer,3
2010,Approved,China,Fast Food Cook,0
2010,Approved,China,Film and Video Editor,3
2010,Approved,China,Finance Broker,3
2010,Approved,China,Financial Brokers nec,0
2010,Approved,China,Financial Dealers nec,0
2010,Approved,China,Financial Institution Branch Manager,0
2010,Approved,China,Financial Investment Adviser,3
2010,Approved,China,Financial Investment Manager,3
2010,Approved,China,Financial Market Dealer,3
2010,Approved,China,Fitter-Welder,12
2010,Approved,China,Flight Attendant,3
2010,Approved,China,Food Technologist,3
2010,Approved,China,Forklift Driver,3
2010,Approved,China,Gardener (General),3
2010,Approved,China,Graphic Designer,6
2010,Approved,China,Graphic Pre-press Trades Worker,9
2010,Approved,China,Hair or Beauty Salon Manager,3
2010,Approved,China,Hairdresser,3
2010,Approved,China,Hardware Technician,9
2010,Approved,China,Head Chef,3
2010,Approved,China,Health Practice Manager,0
2010,Approved,China,Hospitality Workers nec,6
2010,Approved,China,"Hospitality, Retail and Service Managers nec",9
2010,Approved,China,Hotel or Motel Manager,9
2010,Approved,China,Hotel or Motel Receptionist,3
2010,Approved,China,Hotel Service Manager,3
2010,Approved,China,ICT Business Analyst,6
2010,Approved,China,ICT Business Development Manager,3
2010,Approved,China,ICT Customer Support Officer,18
2010,Approved,China,ICT Managers nec,0
2010,Approved,China,ICT Sales Representative,3
2010,Approved,China,ICT Security Specialist,0
2010,Approved,China,ICT Support Engineer,3
2010,Approved,China,ICT Support Technicians nec,48
2010,Approved,China,ICT Systems Test Engineer,0
2010,Approved,China,Importer or Exporter,6
2010,Approved,China,Industrial Engineer,0
2010,Approved,China,Insurance Agent,0
2010,Approved,China,Insurance Consultant,0
2010,Approved,China,Insurance Loss Adjuster,3
2010,Approved,China,Interior Designer,3
2010,Approved,China,Internal Auditor,3
2010,Approved,China,Journalists and Other Writers nec,0
2010,Approved,China,Landscape Architect,0
2010,Approved,China,Legal Secretary,3
2010,Approved,China,Licensed Club Manager,3
2010,Approved,China,Life Science Technician,0
2010,Approved,China,Life Scientist (General),3
2010,Approved,China,Management Accountant,0
2010,Approved,China,Management Consultant,0
2010,Approved,China,Marine Transport Professionals nec,0
2010,Approved,China,Market Research Analyst,0
2010,Approved,China,Marketing Specialist,27
2010,Approved,China,Massage Therapist,3
2010,Approved,China,Mechanical Engineer,3
2010,Approved,China,Mechanical Engineering Draftsperson,0
2010,Approved,China,Medical Laboratory Scientist,0
2010,Approved,China,Migration Agent,3
2010,Approved,China,Money Market Clerk,3
2010,Approved,China,Motor Mechanic (General),15
2010,Approved,China,Multimedia Designer,0
2010,Approved,China,Network Administrator,3
2010,Approved,China,Newspaper or Periodical Editor,0
2010,Approved,China,Not Stated,9
2010,Approved,China,Nurseryperson,9
2010,Approved,China,Office Manager,42
2010,Approved,China,Organisation and Methods Analyst,3
2010,Approved,China,Panelbeater,0
2010,Approved,China,Pastrycook,21
2010,Approved,China,Personal Assistant,3
2010,Approved,China,Personal Service Workers nec,3
2010,Approved,China,Pharmacy Technician,3
2010,Approved,China,Photographer,3
2010,Approved,China,Policy Analyst,0
2010,Approved,China,Postal Sorting Officer,0
2010,Approved,China,Primary Products Inspectors nec,3
2010,Approved,China,Private Tutors and Teachers nec,0
2010,Approved,China,Production Manager (Manufacturing),3
2010,Approved,China,Program or Project Administrator,15
2010,Approved,China,Property Manager,6
2010,Approved,China,Public Relations Manager,3
2010,Approved,China,Purchasing Officer,0
2010,Approved,China,Quality Assurance Manager,3
2010,Approved,China,Real Estate Agent/Property Consultant,3
2010,Approved,China,Receptionist (General),3
2010,Approved,China,Registered Nurse (Aged Care),15
2010,Approved,China,Registered Nurse (Community Health),3
2010,Approved,China,Registered Nurse (Critical Care and Emergency),0
2010,Approved,China,Registered Nurse (Medical),9
2010,Approved,China,Registered Nurse (Mental Health),3
2010,Approved,China,Registered Nurse (Perioperative),0
2010,Approved,China,Registered Nurse (Surgical),9
2010,Approved,China,Registered Nurses nec,3
2010,Approved,China,Residential Care Officer,3
2010,Approved,China,Retail Manager (General),168
2010,Approved,China,Retail Pharmacist,3
2010,Approved,China,Retail Supervisor,12
2010,Approved,China,Sales and Marketing Manager,12
2010,Approved,China,Sales Assistant (General),3
2010,Approved,China,Sales Representative (Personal and Household Goods),3
2010,Approved,China,Sales Representatives nec,3
2010,Approved,China,Science Technicians nec,6
2010,Approved,China,Secondary School Teacher,0
2010,Approved,China,Secretary (General),0
2010,Approved,China,Sheetmetal Trades Worker,0
2010,Approved,China,Signwriter,0
2010,Approved,China,Small Offset Printer,3
2010,Approved,China,Social Worker,0
2010,Approved,China,Software and Applications Programmers nec,3
2010,Approved,China,Software Engineer,3
2010,Approved,China,Software Tester,0
2010,Approved,China,Solicitor,3
2010,Approved,China,Sound Technician,0
2010,Approved,China,Specialist Managers nec,0
2010,Approved,China,Sports Centre Manager,0
2010,Approved,China,Statistician,3
2010,Approved,China,Stock Clerk,0
2010,Approved,China,Stonemason,0
2010,Approved,China,Structural Engineer,3
2010,Approved,China,Student,141
2010,Approved,China,Student Counsellor,3
2010,Approved,China,Supply and Distribution Manager,9
2010,Approved,China,Surveyor,3
2010,Approved,China,Swimming Coach or Instructor,0
2010,Approved,China,Systems Analyst,0
2010,Approved,China,Taxation Accountant,3
2010,Approved,China,Teacher of English to Speakers of Other Languages,0
2010,Approved,China,Technical Sales Representatives nec,3
2010,Approved,China,Telecommunications Field Engineer,0
2010,Approved,China,Telecommunications Technician,0
2010,Approved,China,Telemarketer,3
2010,Approved,China,Television Journalist,0
2010,Approved,China,Tour Guide,3
2010,Approved,China,Translator,3
2010,Approved,China,Travel Agency Manager,12
2010,Approved,China,Travel Consultant,3
2010,Approved,China,Unemployed,6
2010,Approved,China,University Lecturer,6
2010,Approved,China,University Tutor,0
2010,Approved,China,Urban and Regional Planner,0
2010,Approved,China,Vegetable Grower (Aus) / Market Gardener (NZ),3
2010,Approved,China,Vehicle Body Builder,3
2010,Approved,China,Vehicle Painter,0
2010,Approved,China,Vehicle Trimmer,0
2010,Approved,China,Veterinary Nurse,0
2010,Approved,China,Waiter,0
2010,Approved,China,Web Administrator,6
2010,Approved,China,Web Designer,0
2010,Approved,China,Web Developer,0
2010,Approved,China,Welder (First Class) (Aus) / Welder (NZ),3
2010,Approved,China,Wholesaler,3
2010,Approved,China,Workplace Relations Adviser,3
2010,Approved,Colombia,Cafe or Restaurant Manager,3
2010,Approved,Colombia,Civil Engineering Draftsperson,0
2010,Approved,Colombia,Engineering Manager,0
2010,Approved,Colombia,Financial Dealers nec,3
2010,Approved,Colombia,ICT Managers nec,0
2010,Approved,Colombia,ICT Project Manager,0
2010,Approved,Colombia,Mechanical Engineer,0
2010,Approved,Colombia,Order Clerk,0
2010,Approved,Colombia,Supply and Distribution Manager,0
2010,Approved,Colombia,Technical Sales Representatives nec,0
2010,Approved,Congo,Computer Network and Systems Engineer,0
2010,Approved,Costa Rica,Upholsterer,0
2010,Approved,Croatia,Developer Programmer,0
2010,Approved,Croatia,ICT Business Analyst,0
2010,Approved,Croatia,Multimedia Designer,3
2010,Approved,Czech Republic,Aircraft Maintenance Engineer (Mechanical),3
2010,Approved,Czech Republic,Anaesthetist,0
2010,Approved,Czech Republic,Analyst Programmer,0
2010,Approved,Czech Republic,Arborist,0
2010,Approved,Czech Republic,Cabinetmaker,0
2010,Approved,Czech Republic,Cafe or Restaurant Manager,3
2010,Approved,Czech Republic,Carpenter,0
2010,Approved,Czech Republic,Carpenter and Joiner,0
2010,Approved,Czech Republic,Chef,3
2010,Approved,Czech Republic,Developer Programmer,0
2010,Approved,Czech Republic,Electrician (General),0
2010,Approved,Czech Republic,Electronic Engineering Technician,0
2010,Approved,Czech Republic,Fitter-Welder,3
2010,Approved,Czech Republic,Geotechnical Engineer,0
2010,Approved,Czech Republic,ICT Project Manager,0
2010,Approved,Czech Republic,ICT Support and Test Engineers nec,0
2010,Approved,Czech Republic,Motor Mechanic (General),3
2010,Approved,Czech Republic,Office Manager,0
2010,Approved,Czech Republic,Roof Tiler,0
2010,Approved,Czech Republic,Software Engineer,3
2010,Approved,Czech Republic,Systems Administrator,3
2010,Approved,Czech Republic,Welder (First Class) (Aus) / Welder (NZ),3
2010,Approved,Denmark,Chef,0
2010,Approved,Denmark,Construction Project Manager,0
2010,Approved,Denmark,Print Journalist,0
2010,Approved,Denmark,Real Estate Agent,3
2010,Approved,Denmark,Registered Nurse (Critical Care and Emergency),3
2010,Approved,Denmark,University Lecturer,0
2010,Approved,Ecuador,Graphic Pre-press Trades Worker,3
2010,Approved,Ecuador,Hairdresser,0
2010,Approved,Egypt,Analyst Programmer,0
2010,Approved,Egypt,Bricklayer,0
2010,Approved,Egypt,Civil Engineer,0
2010,Approved,Egypt,Dairy Cattle Farmer,3
2010,Approved,Egypt,Electronics Engineer,3
2010,Approved,Egypt,Engineering Professionals nec,0
2010,Approved,Egypt,Software Engineer,0
2010,Approved,Egypt,Telecommunications Engineer,3
2010,Approved,Egypt,Telecommunications Network Engineer,0
2010,Approved,Estonia,Production Manager (Manufacturing),0
2010,Approved,Ethiopia,Developer Programmer,3
2010,Approved,Ethiopia,Telecommunications Engineer,0
2010,Approved,Fiji,(not recorded),0
2010,Approved,Fiji,Accountant (General),12
2010,Approved,Fiji,Airconditioning and Mechanical Services Plumber,0
2010,Approved,Fiji,Airconditioning and Refrigeration Mechanic,12
2010,Approved,Fiji,Aircraft Maintenance Engineer (Mechanical),3
2010,Approved,Fiji,Analyst Programmer,3
2010,Approved,Fiji,Apparel Cutter,6
2010,Approved,Fiji,Architectural Draftsperson,6
2010,Approved,Fiji,Automotive Electrician,6
2010,Approved,Fiji,Baker,12
2010,Approved,Fiji,Bank Worker,0
2010,Approved,Fiji,Boat Builder and Repairer,0
2010,Approved,Fiji,Bricklayer,0
2010,Approved,Fiji,Building Inspector,0
2010,Approved,Fiji,Business Machine Mechanic,3
2010,Approved,Fiji,Butcher or Smallgoods Maker,6
2010,Approved,Fiji,Cabinetmaker,9
2010,Approved,Fiji,Cabler (Data and Telecommunications),3
2010,Approved,Fiji,Cafe or Restaurant Manager,6
2010,Approved,Fiji,Call or Contact Centre Team Leader,0
2010,Approved,Fiji,Carpenter,21
2010,Approved,Fiji,Carpenter and Joiner,6
2010,Approved,Fiji,Chef,24
2010,Approved,Fiji,Chemistry Technician,3
2010,Approved,Fiji,Cinema or Theatre Manager,0
2010,Approved,Fiji,Civil Engineering Technician,0
2010,Approved,Fiji,Clothing Patternmaker,3
2010,Approved,Fiji,Computer Network and Systems Engineer,0
2010,Approved,Fiji,Construction Estimator,3
2010,Approved,Fiji,Contract Administrator,0
2010,Approved,Fiji,Cook,9
2010,Approved,Fiji,Corporate Services Manager,3
2010,Approved,Fiji,Dairy Cattle Farmer,3
2010,Approved,Fiji,Database Administrator,0
2010,Approved,Fiji,Developer Programmer,0
2010,Approved,Fiji,Diesel Motor Mechanic,27
2010,Approved,Fiji,Disabilities Services Officer,3
2010,Approved,Fiji,Diversional Therapist,0
2010,Approved,Fiji,Drainer (Aus) / Drainlayer (NZ),6
2010,Approved,Fiji,Dressmaker or Tailor,6
2010,Approved,Fiji,Early Childhood (Pre-primary School) Teacher,6
2010,Approved,Fiji,Electrical Engineer,3
2010,Approved,Fiji,Electrical Engineering Draftsperson,3
2010,Approved,Fiji,Electrical Engineering Technician,0
2010,Approved,Fiji,Electrical Linesworker (Aus) / Electrical Line Mechanic (NZ),6
2010,Approved,Fiji,Electrician,0
2010,Approved,Fiji,Electrician (General),21
2010,Approved,Fiji,Electrician (Special Class),0
2010,Approved,Fiji,Electronic Engineering Technician,3
2010,Approved,Fiji,Electronic Equipment Trades Worker,6
2010,Approved,Fiji,Electronic Instrument Trades Worker (Special Class),3
2010,Approved,Fiji,Enrolled Nurse,0
2010,Approved,Fiji,Environmental Health Officer,0
2010,Approved,Fiji,Environmental Manager,0
2010,Approved,Fiji,Environmental Research Scientist,3
2010,Approved,Fiji,Finance Manager,3
2010,Approved,Fiji,Financial Institution Branch Manager,0
2010,Approved,Fiji,Fire Protection Equipment Technician,0
2010,Approved,Fiji,Fitter-Welder,24
2010,Approved,Fiji,Fitter (General),9
2010,Approved,Fiji,Fitter and Turner,9
2010,Approved,Fiji,Flight Attendant,0
2010,Approved,Fiji,Furniture Finisher,0
2010,Approved,Fiji,Gardener (General),0
2010,Approved,Fiji,Glazier,6
2010,Approved,Fiji,"Grain, Oilseed or Pasture Grower (Aus) / Field Crop Grower (NZ)",0
2010,Approved,Fiji,Graphic Designer,0
2010,Approved,Fiji,Hair or Beauty Salon Manager,3
2010,Approved,Fiji,Hairdresser,9
2010,Approved,Fiji,Hardware Technician,0
2010,Approved,Fiji,Hotel or Motel Manager,3
2010,Approved,Fiji,ICT Business Analyst,0
